PedidoID,ClienteID,SucursalID,EmpleadoID,FechaPedido,Estado,Total,Notas
1,70,10,40,12/1/24 17:41,Completado,2667.74,
2,33,2,26,12/12/23 18:08,Completado,283.32,
3,60,1,34,4/27/24 8:04,Completado,771.9,
4,77,17,26,3/2/23 13:34,Completado,418.6,
5,52,1,16,6/4/23 18:17,Enviado,2410.29,
6,73,4,18,3/18/23 16:57,Completado,729.18,
7,79,16,20,8/21/24 12:56,En proceso,1027.31,
8,33,17,6,8/12/24 11:44,Cancelado,38.75,
9,16,1,27,8/2/23 12:11,Completado,1971.87,
10,61,11,33,9/26/23 18:21,Cancelado,396.75,
11,9,1,7,9/3/23 15:16,Completado,223.99,
12,33,19,17,1/20/23 18:10,Completado,261.16,
13,24,17,19,10/28/23 18:14,Completado,166.78,
14,62,12,28,4/7/23 12:32,Enviado,926.11,
15,85,13,20,3/13/23 19:30,Cancelado,3055.45,
16,40,17,9,7/22/24 12:33,Cancelado,134.81,
17,3,7,8,1/24/24 16:02,En proceso,5265.44,
18,51,18,3,1/11/23 15:42,Completado,353.94,
19,19,20,32,4/15/23 13:16,Completado,2118.23,
20,67,5,9,11/28/23 16:04,Cancelado,280.68,
21,4,7,27,5/20/23 15:00,Completado,573.48,
22,55,3,25,4/20/24 20:18,En proceso,2793.65,
23,99,20,1,2/13/24 13:00,Completado,10412.16,
24,98,15,7,1/2/24 15:48,Completado,3983.28,
25,74,6,8,4/27/24 13:30,Enviado,423.13,
26,14,7,13,8/31/23 19:06,Completado,968.58,
27,51,4,12,7/22/24 19:33,Cancelado,156.99,
28,3,19,11,12/16/23 16:34,En proceso,558.93,
29,25,20,23,7/31/24 17:14,Completado,424.81,
30,90,20,39,8/13/24 10:28,Completado,789.74,
31,77,8,21,3/8/23 16:09,Completado,1395.19,
32,22,10,27,6/8/24 12:01,Enviado,884.78,
33,95,10,1,11/18/23 12:49,Completado,1830.83,
34,62,9,7,10/30/23 19:49,Completado,337.87,
35,72,3,31,10/15/24 11:02,Completado,3527.26,
36,80,7,38,12/31/24 10:07,Completado,4667.91,
37,80,9,2,6/13/23 20:04,Cancelado,550.22,
38,24,17,29,2/7/24 19:50,Completado,10342.81,
39,81,15,27,10/28/24 11:46,Completado,2061.44,
40,23,1,39,4/5/23 8:04,Completado,2554.69,
41,41,6,19,12/2/24 17:28,Cancelado,202.76,
42,90,18,25,6/19/24 8:34,Completado,9086.96,
43,82,4,40,10/17/23 12:17,Completado,831.64,
44,51,6,18,10/21/24 9:42,Enviado,5399.28,
45,55,5,34,5/31/23 13:56,Cancelado,218.42,
46,53,3,3,4/6/23 17:11,Completado,91.22,
